날짜,종가,거래량
2024-10-15,172200,209014
2024-10-14,175900,437477
2024-10-11,180900,503426
2024-10-10,186300,867580
2024-10-08,193000,482782
2024-10-07,192700,761883
2024-10-04,183400,602272
2024-10-02,190100,626291
2024-09-30,184500,695961
2024-09-27,190400,640252
2024-09-26,189600,832170
2024-09-25,178800,655475
2024-09-24,180200,1112942
2024-09-23,169400,585588
2024-09-20,160800,506516
2024-09-19,158100,366905
2024-09-13,159100,521286
2024-09-12,157300,1238778
2024-09-11,153700,864741
2024-09-10,148700,482397
2024-09-09,151600,703185
2024-09-06,158100,733467
2024-09-05,167100,515241
2024-09-04,170300,585304
2024-09-03,174500,686180
2024-09-02,181800,1625882
2024-08-30,168300,381398
2024-08-29,168500,525714
2024-08-28,165100,644737
2024-08-27,170100,614348
2024-08-26,173800,543665
2024-08-23,174000,622358
2024-08-22,180900,583764
2024-08-21,176300,779994
2024-08-20,171600,486336
2024-08-19,172400,621823
2024-08-16,182100,508852
2024-08-14,186000,562104
2024-08-13,180400,560693
2024-08-12,180000,374793
2024-08-09,179200,1093221
2024-08-08,166400,842757
2024-08-07,174200,581172
2024-08-06,181000,897262
2024-08-05,164900,1150660
2024-08-02,185900,724626
2024-08-01,185100,1167499
2024-07-31,179900,626382
2024-07-30,187500,927485
2024-07-29,178200,353401
2024-07-26,174000,403715
2024-07-25,180900,972513
2024-07-24,178600,360681
2024-07-23,179000,393683
2024-07-22,181100,569845
2024-07-19,194000,623889
2024-07-18,182200,547368
2024-07-17,179000,415403
2024-07-16,183200,551866
2024-07-15,194400,535544
2024-07-12,195700,575362
2024-07-11,189000,547890
2024-07-10,189500,402279
2024-07-09,193800,508406
2024-07-08,198600,964629
2024-07-05,190100,357510
2024-07-04,189000,527747
2024-07-03,191000,954589
2024-07-02,182500,384792
2024-07-01,188500,509498
2024-06-28,183000,558335
2024-06-27,178000,420147
2024-06-26,178400,437439
2024-06-25,179300,463562
2024-06-24,182100,518734
2024-06-21,186600,646780
2024-06-20,188100,823551
2024-06-19,194100,724891
2024-06-18,191600,710704
2024-06-17,198900,547470
2024-06-14,200500,699689
2024-06-13,209000,777900
2024-06-12,209500,543357
2024-06-11,213500,625302
2024-06-10,215500,949785
2024-06-07,222000,1568844
2024-06-05,203000,1100996
2024-06-04,191200,706551
2024-06-03,188000,582389
2024-05-31,191300,1058322
2024-05-30,185800,751107
2024-05-29,187500,1007809
2024-05-28,198600,682776
2024-05-27,208500,929113
2024-05-24,196200,595244
2024-05-23,202500,366376
2024-05-22,204000,308921
2024-05-21,203500,560921
2024-05-20,213000,267962
2024-05-17,212500,433809
2024-05-16,216000,551906
2024-05-14,210500,451281
2024-05-13,210500,459634
2024-05-10,217500,316039
2024-05-09,220500,465377
2024-05-08,223000,391153
2024-05-07,223000,525423
2024-05-03,226000,641296
2024-05-02,233000,247321
2024-04-30,238500,408521
2024-04-29,239000,344677
2024-04-26,236000,371441
2024-04-25,234000,590430
2024-04-24,245500,810487
2024-04-23,233500,445260
2024-04-22,240000,694496
2024-04-19,227500,468724
2024-04-18,229000,642403
2024-04-17,215000,477126
2024-04-16,220500,491631
2024-04-15,228000,538285
2024-04-12,228500,553362
2024-04-11,239000,569787
2024-04-09,236500,611609
2024-04-08,240500,1097858
2024-04-05,239500,442108
2024-04-04,246500,859930
2024-04-03,245500,1079181
2024-04-02,261500,679991
2024-04-01,270500,460008
2024-03-29,274000,617611
2024-03-28,277500,680977
2024-03-27,287500,861359
2024-03-26,292500,844487
2024-03-25,291000,1527123
2024-03-22,277000,528708
2024-03-21,276000,1131930
2024-03-20,265000,603154
2024-03-19,271500,1016973
2024-03-18,268000,678264
2024-03-15,256500,493068
2024-03-14,266500,998393
2024-03-13,264500,682265
2024-03-12,262000,1070068
2024-03-11,245000,354673
2024-03-08,247000,576953
2024-03-07,250500,552040
2024-03-06,249500,577892
2024-03-05,255500,1035646
2024-03-04,270000,1016547
2024-02-29,266500,1114075
2024-02-28,256000,3637396
2024-02-27,236500,701468
2024-02-26,242000,449148
2024-02-23,247500,441153
2024-02-22,249500,447068
2024-02-21,249000,657216
2024-02-20,253500,994910
2024-02-19,244000,610835
2024-02-16,254000,823032
2024-02-15,253000,951210
2024-02-14,243500,930391
2024-02-13,240000,1101830
2024-02-08,243500,1499991
2024-02-07,230500,2845259
2024-02-06,216000,771192
2024-02-05,224500,434759
2024-02-02,229000,905402
2024-02-01,228000,1010740
2024-01-31,213500,810765
2024-01-30,220000,1455093
2024-01-29,227000,1552920
2024-01-26,244000,1373958
2024-01-25,227000,1094625
2024-01-24,239000,808713
2024-01-23,239500,1233895
2024-01-22,248000,1825800
2024-01-19,278500,1064874
2024-01-18,289000,1149526
2024-01-17,282000,775134
2024-01-16,296500,633626
2024-01-15,292500,802958
2024-01-12,304000,648041
2024-01-11,306000,1242703
2024-01-10,293500,791460
2024-01-09,304000,791727
2024-01-08,315500,1321504
2024-01-05,315000,3123118
2024-01-04,279000,611803
2024-01-03,271500,639495
2024-01-02,283500,441580
2023-12-28,288000,557312
2023-12-27,290500,879540
2023-12-26,284000,978199
2023-12-22,294500,834654
2023-12-21,306000,1344971
2023-12-20,318500,582685
2023-12-19,318000,1019914
2023-12-18,322000,1881631
2023-12-15,318000,1328029
2023-12-14,320000,1418618
2023-12-13,312000,1264683
2023-12-12,329000,1171359
2023-12-11,319000,1208426
2023-12-08,313000,1149679
2023-12-07,301500,1395977
2023-12-06,301000,1430188
2023-12-05,308500,2233869
2023-12-04,323000,6062155
2023-12-01,280000,2131345
2023-11-30,274000,1518780
2023-11-29,269500,1594422
2023-11-28,244500,704248
2023-11-27,241000,464771
2023-11-24,243000,444715
2023-11-23,243500,419964
2023-11-22,239500,651438
2023-11-21,245500,913147
2023-11-20,251000,1068545
2023-11-17,238000,901372
2023-11-16,242500,1023370
2023-11-15,250000,1618135
2023-11-14,249000,1460540
2023-11-13,227000,928068
2023-11-10,233000,853321
2023-11-09,248500,1773521
2023-11-08,255500,1790087
2023-11-07,284500,4786379
2023-11-06,299000,3967285
2023-11-03,230000,1917715
2023-11-02,217000,1416982
2023-11-01,188600,1012178
2023-10-31,196200,1012456
2023-10-30,212000,744013
2023-10-27,203500,1219202
2023-10-26,199600,1598617
2023-10-25,213000,1279210
2023-10-24,233500,1094510
2023-10-23,231000,707846
2023-10-20,233500,1083331
2023-10-19,239500,679263
2023-10-18,249500,611962
2023-10-17,249000,970967
2023-10-16,242500,911320
2023-10-13,246000,869053
2023-10-12,254000,1136493
2023-10-11,243500,991492
2023-10-10,223000,856672
2023-10-06,235500,351511
2023-10-05,233500,674090
2023-10-04,235000,1012455
2023-09-27,253000,1144937
2023-09-26,254500,850834
2023-09-25,261500,1259365
2023-09-22,287000,566136
2023-09-21,282500,636305
2023-09-20,290500,688258
2023-09-19,278000,486652
2023-09-18,280000,582615
2023-09-15,280000,697568
2023-09-14,285000,716570
2023-09-13,275000,801850
2023-09-12,277500,1208260
2023-09-11,290000,721585
2023-09-08,299000,790609
2023-09-07,289000,1245717
2023-09-06,301000,648114
2023-09-05,306500,801440
2023-09-04,307500,719380
2023-09-01,308500,817093
2023-08-31,324500,795872
2023-08-30,324500,850021
2023-08-29,330500,979750
2023-08-28,344500,656141
2023-08-25,342500,1136688
2023-08-24,333500,881759
2023-08-23,321000,1012929
2023-08-22,337500,1300180
2023-08-21,328000,1067372
2023-08-18,312000,1023213
2023-08-17,318000,1546048
2023-08-16,303500,1057135
2023-08-14,318000,932824
2023-08-11,323500,1043452
2023-08-10,337500,912235
2023-08-09,343500,1073489
2023-08-08,339000,1550330
2023-08-07,340000,2047494
2023-08-04,380500,973480
2023-08-03,390000,1530821
2023-08-02,380500,1838944
2023-08-01,408500,3357955
2023-07-31,419000,2250798
2023-07-28,407500,4579184
2023-07-27,376500,6651740
2023-07-26,455000,11089701
2023-07-25,462000,5442923
2023-07-24,404500,4135995
2023-07-21,381500,4012520
2023-07-20,362500,3226383
2023-07-19,361000,5892304
2023-07-18,326000,5966121
2023-07-17,279000,996912
2023-07-14,281500,935951
2023-07-13,281500,1406043
2023-07-12,279000,2197894
2023-07-11,295000,1752416
2023-07-10,285000,2544029
2023-07-07,280000,1036721
2023-07-06,275000,1370915
2023-07-05,281500,1595113
2023-07-04,274500,4655997
2023-07-03,263500,1749721
2023-06-30,249000,644888
2023-06-29,241000,686811
2023-06-28,243000,909749
2023-06-27,254500,772954
2023-06-26,261500,362609
2023-06-23,263000,436861
2023-06-22,265000,531586
2023-06-21,261500,701772
2023-06-20,262000,680495
2023-06-19,267000,837631
2023-06-16,266000,1144214
2023-06-15,258500,1416683
2023-06-14,254000,2308685
2023-06-13,283000,1659227
2023-06-12,268500,729029
2023-06-09,267000,898687
2023-06-08,267500,1150058
2023-06-07,270000,1226036
2023-06-05,257500,626160
2023-06-02,255000,746706
2023-06-01,249500,667845
2023-05-31,249000,1082099
2023-05-30,239000,793334
2023-05-26,238000,667433
2023-05-25,243500,565982
2023-05-24,246000,903966
2023-05-23,243500,935974
2023-05-22,236500,762129
2023-05-19,226500,662072
2023-05-18,231500,762522
2023-05-17,232000,686613
2023-05-16,229000,1141807
2023-05-15,223500,1751134
2023-05-12,227500,1566785
2023-05-11,222000,1939354
2023-05-10,231500,1108230
2023-05-09,237000,1983567
2023-05-08,242000,1072455
2023-05-04,250000,1110726
2023-05-03,249500,1559531
2023-05-02,267000,1515819
2023-04-28,267000,2651234
2023-04-27,269500,2973374
2023-04-26,242500,2117088
2023-04-25,253500,2949117
2023-04-24,271000,1686722
2023-04-21,272500,2095094
2023-04-20,294000,1359064
2023-04-19,294000,1774759
2023-04-18,296000,2416820
2023-04-17,294000,2601181
2023-04-14,277500,2308384
2023-04-13,268500,4702433
2023-04-12,276000,4427300
2023-04-11,294500,4639599
2023-04-10,292500,9194122
2023-04-07,257500,3446298
2023-04-06,247500,2352283
2023-04-05,235000,2132786
2023-04-04,224500,1915939
2023-04-03,232000,2608823
2023-03-31,224500,1796010
2023-03-30,226500,2578123
2023-03-29,233000,3256078
2023-03-28,224000,2762048
2023-03-27,226000,2796705
2023-03-24,233000,4120060
2023-03-23,235000,9261725
2023-03-22,213500,2700971
2023-03-21,204500,2193086
2023-03-20,204000,3452514
2023-03-17,200000,3388296
2023-03-16,216000,4006835
2023-03-15,214000,4072893
2023-03-14,196500,3476619
2023-03-13,203000,3398373
2023-03-10,193600,2456200
2023-03-09,205000,2913212
2023-03-08,209000,3677052
2023-03-07,205500,4372985
2023-03-06,217000,8059503
2023-03-03,182100,5116799
2023-03-02,159700,3110187
2023-02-28,166300,2648559
2023-02-27,166800,3737868
2023-02-24,159300,2302622
2023-02-23,155200,3029756
2023-02-22,160500,4546902
2023-02-21,160800,4616237
2023-02-20,147300,2058218
2023-02-17,146800,2554317
2023-02-16,147500,2350333
2023-02-15,141100,3489156
2023-02-14,140500,2241781
2023-02-13,139000,3447025
2023-02-10,132700,2873415
2023-02-09,130700,3910409
2023-02-08,122000,1571643
2023-02-07,121800,2357801
2023-02-06,118700,2397142
2023-02-03,114100,1513973
2023-02-02,114000,1879935
2023-02-01,109200,2337574
2023-01-31,99800,1324971
2023-01-30,103400,663096
2023-01-27,104300,748283
2023-01-26,105400,1161366
2023-01-25,101700,572531
2023-01-20,99400,381727
2023-01-19,97500,399268
2023-01-18,98900,352302
2023-01-17,99400,424922
2023-01-16,100300,365996
2023-01-13,99800,361081
2023-01-12,100200,449188
2023-01-11,99900,485214
