날짜,종가,거래량
2024-10-17,28350,102966
2024-10-16,28350,342342
2024-10-15,28300,459137
2024-10-14,28950,330506
2024-10-11,29100,476983
2024-10-10,30150,393099
2024-10-08,30250,499461
2024-10-07,30900,668202
2024-10-04,29600,371162
2024-10-02,29850,516699
2024-09-30,30500,741438
2024-09-27,31650,866421
2024-09-26,32450,1128346
2024-09-25,31350,4240997
2024-09-24,30200,975528
2024-09-23,29600,644589
2024-09-20,28650,679344
2024-09-19,29050,440934
2024-09-13,29350,508835
2024-09-12,29350,1130861
2024-09-11,27150,506654
2024-09-10,26100,557644
2024-09-09,25700,559225
2024-09-06,25800,974304
2024-09-05,27850,921644
2024-09-04,29700,1130115
2024-09-03,30650,2427046
2024-09-02,30400,5647144
2024-08-30,26600,335566
2024-08-29,26450,416085
2024-08-28,26000,465014
2024-08-27,27050,279135
2024-08-26,27550,439058
2024-08-23,27950,782828
2024-08-22,29050,2664333
2024-08-21,26950,331309
2024-08-20,26400,277598
2024-08-19,26250,313229
2024-08-16,27150,276242
2024-08-14,26850,348914
2024-08-13,26250,247613
2024-08-12,26700,272136
2024-08-09,26600,348922
2024-08-08,25900,464193
2024-08-07,27100,379944
2024-08-06,27000,948521
2024-08-05,24850,991294
2024-08-02,28500,410262
2024-08-01,29650,476072
2024-07-31,28900,331223
2024-07-30,28800,372443
2024-07-29,29400,451429
2024-07-26,29250,794772
2024-07-25,30800,707371
2024-07-24,31550,365400
2024-07-23,32150,449415
2024-07-22,33000,477934
2024-07-19,34650,372210
2024-07-18,33750,443784
2024-07-17,34000,495898
2024-07-16,34800,519563
2024-07-15,36000,547980
2024-07-12,37100,419122
2024-07-11,37700,961315
2024-07-10,37200,306938
2024-07-09,37050,399316
2024-07-08,37850,475945
2024-07-05,37350,439454
2024-07-04,37050,358773
2024-07-03,36850,580150
2024-07-02,36750,571621
2024-07-01,38750,468074
2024-06-28,38350,641258
2024-06-27,37650,433507
2024-06-26,37450,364042
2024-06-25,37800,443822
2024-06-24,38450,415410
2024-06-21,39250,547206
2024-06-20,39750,495310
2024-06-19,40250,660999
2024-06-18,40500,868953
2024-06-17,41600,658634
2024-06-14,41900,1586319
2024-06-13,42900,2954158
2024-06-12,41050,1407722
2024-06-11,40500,5234587
2024-06-10,38150,759016
2024-06-07,39350,1011338
2024-06-05,37550,1138036
2024-06-04,36450,889873
2024-06-03,35650,1656198
2024-05-31,35350,929884
2024-05-30,34650,684183
2024-05-29,35700,726290
2024-05-28,37350,537656
2024-05-27,38400,968213
2024-05-24,37300,518489
2024-05-23,38450,413583
2024-05-22,38250,475471
2024-05-21,39100,534770
2024-05-20,39750,400210
2024-05-17,39950,479850
2024-05-16,41000,412097
2024-05-14,40950,309132
2024-05-13,40550,373010
2024-05-10,41100,553036
2024-05-09,42550,843974
2024-05-08,42300,506799
2024-05-07,41800,557885
2024-05-03,40400,393492
2024-05-02,40250,386828
2024-04-30,40750,696485
2024-04-29,41100,495727
2024-04-26,40250,661124
2024-04-25,41200,871372
2024-04-24,43300,1219483
2024-04-23,40550,541169
2024-04-22,41400,970234
2024-04-19,38750,982457
2024-04-18,40100,1215039
2024-04-17,38700,1034554
2024-04-16,40200,1114449
2024-04-15,41850,801693
2024-04-12,43200,612399
2024-04-11,44300,861076
2024-04-09,44950,885187
2024-04-08,45750,2763575
2024-04-05,44150,913033
2024-04-04,45700,919306
2024-04-03,46350,909524
2024-04-02,47550,682188
2024-04-01,48150,740935
2024-03-29,48900,902719
2024-03-28,48550,1891808
2024-03-27,50800,846785
2024-03-26,51800,899303
2024-03-25,53000,463137
2024-03-22,53000,401143
2024-03-21,53400,642876
2024-03-20,52500,610178
2024-03-19,53000,640484
2024-03-18,53700,668319
2024-03-15,54300,1958704
2024-03-14,57000,2389861
2024-03-13,56900,1085558
2024-03-12,55300,825096
2024-03-11,54100,1181224
2024-03-08,53300,614862
2024-03-07,53400,569003
2024-03-06,53200,800814
2024-03-05,54300,1159845
2024-03-04,54200,705925
2024-02-29,54100,928163
2024-02-28,53000,1277816
2024-02-27,54600,958898
2024-02-26,56600,488239
2024-02-23,57000,763373
2024-02-22,57000,663959
2024-02-21,57600,761878
2024-02-20,58100,642696
2024-02-19,58600,1188252
2024-02-16,61000,3254375
2024-02-15,58400,758525
2024-02-14,58000,1099172
2024-02-13,58500,1124995
2024-02-08,60500,1219822
2024-02-07,60700,926886
2024-02-06,60700,1915277
2024-02-05,59300,784610
2024-02-02,58700,1133730
2024-02-01,59000,1282881
2024-01-31,57300,1998405
2024-01-30,55500,1134277
2024-01-29,56900,1445177
2024-01-26,56000,2099886
2024-01-25,54000,2209485
2024-01-24,54100,2599843
2024-01-23,53100,2147624
2024-01-22,55300,1783454
2024-01-19,56000,1835596
2024-01-18,57200,1507978
2024-01-17,58800,1421308
2024-01-16,59200,1319760
2024-01-15,60600,1108128
2024-01-12,60900,1856801
2024-01-11,63400,4055569
2024-01-10,59700,1139682
2024-01-09,60400,1484270
2024-01-08,60300,2631919
2024-01-05,60900,2338727
2024-01-04,61900,3786078
2024-01-03,62900,8578381
2024-01-02,69600,4787526
2023-12-28,74200,9836543
2023-12-27,71700,15577250
2023-12-26,71400,15235447
2023-12-22,62600,10621619
2023-12-21,60200,16198827
2023-12-20,51600,1079053
2023-12-19,51700,1287145
2023-12-18,51900,1958937
2023-12-15,52100,1147884
2023-12-14,52000,1608898
2023-12-13,51100,2852175
2023-12-12,50600,2562357
2023-12-11,48300,1454602
2023-12-08,49400,1780216
2023-12-07,47600,2169241
2023-12-06,49150,1969592
2023-12-05,50400,1457116
2023-12-04,52500,2331903
2023-12-01,52700,3891512
2023-11-30,57300,7169286
2023-11-29,58000,2514414
2023-11-28,57500,2291258
2023-11-27,55800,1438020
2023-11-24,57100,1626639
2023-11-23,56500,2484269
2023-11-22,55400,1506184
2023-11-21,55300,1750604
2023-11-20,56500,1676262
2023-11-17,56500,2650622
2023-11-16,54700,2413166
2023-11-15,56800,4000002
2023-11-14,58800,2637420
2023-11-13,57700,2116545
2023-11-10,57900,3302205
2023-11-09,56800,3223265
2023-11-08,57000,3901347
2023-11-07,59800,11078371
2023-11-06,63500,16352199
2023-11-03,50000,2555416
2023-11-02,50000,2330460
2023-11-01,47400,2252521
2023-10-31,49050,2725317
2023-10-30,49950,4030099
2023-10-27,45950,5564121
2023-10-26,42500,4182094
2023-10-25,46150,2783673
2023-10-24,49250,4609310
2023-10-23,50600,2203451
2023-10-20,52700,3471920
2023-10-19,54600,2401168
2023-10-18,55500,2905778
2023-10-17,54900,3919175
2023-10-16,57100,3685284
2023-10-13,57100,4129921
2023-10-12,56600,4973981
2023-10-11,50200,2720614
2023-10-10,47900,2982404
2023-10-06,50300,2862035
2023-10-05,48450,4834865
2023-10-04,53500,4060020
2023-09-27,54200,2756771
2023-09-26,52200,2967006
2023-09-25,50000,2395720
2023-09-22,51700,1842357
2023-09-21,52500,1523578
2023-09-20,54200,1825755
2023-09-19,54100,2358343
2023-09-18,55700,2180642
2023-09-15,55600,3753385
2023-09-14,54500,4524787
2023-09-13,50900,6754638
2023-09-12,57300,4989959
2023-09-11,61800,5440878
2023-09-08,60700,10469787
2023-09-07,58800,14010729
2023-09-06,58800,24689890
2023-09-05,58200,11162281
2023-09-04,58200,15436982
2023-09-01,51800,19748214
2023-08-31,56100,26246692
2023-08-30,48300,12027364
2023-08-29,47650,16637840
2023-08-28,47600,18449143
2023-08-25,44400,31412782
2023-08-24,39050,16860690
2023-08-23,37500,14911432
2023-08-22,34400,10665872
2023-08-21,32950,12978668
2023-08-18,29450,4590467
2023-08-17,31200,8588502
2023-08-16,28900,3065149
2023-08-14,29850,3814046
2023-08-11,29350,4852781
2023-08-10,31550,4663428
2023-08-09,32000,5050821
2023-08-08,32650,8766853
2023-08-07,29850,5778547
2023-08-04,33300,3816646
2023-08-03,34000,5461437
2023-08-02,33050,6230262
2023-08-01,34950,9133322
2023-07-31,34750,9434730
2023-07-28,31000,12323587
2023-07-27,28450,16697375
2023-07-26,35500,31783762
2023-07-25,35150,7299339
2023-07-24,33550,21638753
2023-07-21,31250,16494937
2023-07-20,31050,44536868
2023-07-19,26750,13354259
2023-07-18,27050,17518349
2023-07-17,26350,21086049
2023-07-14,25550,21430598
2023-07-13,25250,59914426
2023-07-12,21500,37986903
2023-07-11,20250,51281256
2023-07-10,15900,6485778
2023-07-07,16960,5527209
2023-07-06,16600,9311868
2023-07-05,18180,16134757
2023-07-04,17690,22776619
2023-07-03,17140,16371188
2023-06-30,15250,6515830
2023-06-29,15450,10036639
2023-06-28,15500,15088443
2023-06-27,17480,22475453
2023-06-26,16220,16800583
2023-06-23,16660,14596166
2023-06-22,16680,35872702
2023-06-21,15140,16964024
2023-06-20,14970,29937285
2023-06-19,13770,12847972
2023-06-16,13130,11426990
2023-06-15,12430,2788041
2023-06-14,12330,6097583
2023-06-13,12700,3432993
2023-06-12,13000,11310863
2023-06-09,12250,2986095
2023-06-08,12500,4851676
2023-06-07,12710,8862923
2023-06-05,11850,4180445
2023-06-02,11390,1935414
2023-06-01,11330,1304596
2023-05-31,11470,1715548
2023-05-30,11640,1702126
2023-05-26,11400,1745396
2023-05-25,11680,2603920
2023-05-24,12130,5737145
2023-05-23,12060,5516979
2023-05-22,11740,1798927
2023-05-19,11530,2052541
2023-05-18,11700,2489816
2023-05-17,11700,2691549
2023-05-16,11560,2460925
2023-05-15,11850,2958492
2023-05-12,11720,2871473
2023-05-11,12020,6001842
2023-05-10,12200,2995759
2023-05-09,12420,3794140
2023-05-08,12820,3780620
2023-05-04,13190,3491570
2023-05-03,13500,6035553
2023-05-02,14030,10123066
2023-04-28,13240,7515857
2023-04-27,14180,12401312
2023-04-26,13570,23635197
2023-04-25,14400,11747077
2023-04-24,15010,8527180
2023-04-21,15140,16840657
2023-04-20,16790,25241209
2023-04-19,16600,34917019
2023-04-18,16940,74917498
2023-04-17,15600,73756319
2023-04-14,12000,31305907
2023-04-13,11660,54190558
2023-04-12,10210,7693641
2023-04-11,10630,8565000
2023-04-10,10770,29187797
2023-04-07,10340,26106526
2023-04-06,10020,3255030
2023-04-05,9860,2853538
2023-04-04,9600,3073266
2023-04-03,9890,23071761
2023-03-31,9500,57607036
2023-03-30,8880,16109559
2023-03-29,8700,42951599
2023-03-28,8640,58664395
