날짜,종가,거래량
2024-10-15,115700,118375
2024-10-14,119200,208900
2024-10-11,118500,347427
2024-10-10,123000,788299
2024-10-08,118400,212206
2024-10-07,118300,250708
2024-10-04,116200,228653
2024-10-02,116100,225824
2024-09-30,117100,251746
2024-09-27,118700,291803
2024-09-26,120600,323421
2024-09-25,121300,467453
2024-09-24,122200,1085841
2024-09-23,114800,350520
2024-09-20,111000,372695
2024-09-19,112700,323198
2024-09-13,110700,357010
2024-09-12,111400,351365
2024-09-11,110900,400198
2024-09-10,109700,240227
2024-09-09,108100,185015
2024-09-06,107200,274679
2024-09-05,107400,173115
2024-09-04,107000,263533
2024-09-03,108900,220823
2024-09-02,110400,476402
2024-08-30,110000,314106
2024-08-29,107900,258221
2024-08-28,106800,339678
2024-08-27,109800,1128567
2024-08-26,106500,234571
2024-08-23,105400,230527
2024-08-22,106200,553862
2024-08-21,103800,241868
2024-08-20,102400,231019
2024-08-19,100200,237770
2024-08-16,102300,218375
2024-08-14,103400,290029
2024-08-13,102800,159544
2024-08-12,102000,126037
2024-08-09,101000,389385
2024-08-08,97700,376215
2024-08-07,98000,313521
2024-08-06,99800,569930
2024-08-05,92800,826809
2024-08-02,104300,405083
2024-08-01,107200,422189
2024-07-31,104200,229456
2024-07-30,104300,239385
2024-07-29,105000,196098
2024-07-26,104800,245877
2024-07-25,105700,385004
2024-07-24,105000,472268
2024-07-23,106500,440711
2024-07-22,107600,601853
2024-07-19,112000,1040654
2024-07-18,115900,3252847
2024-07-17,119700,3688143
2024-07-16,113300,1125893
2024-07-15,108000,525950
2024-07-12,108100,856757
2024-07-11,107100,736233
2024-07-10,108300,594149
2024-07-09,112500,370176
2024-07-08,111600,276437
2024-07-05,112500,427507
2024-07-04,114500,370544
2024-07-03,114100,514254
2024-07-02,111900,488125
2024-07-01,115300,637244
2024-06-28,116100,1776299
2024-06-27,109100,502857
2024-06-26,109000,744436
2024-06-25,107000,807974
2024-06-24,108400,1063080
2024-06-21,114100,3189193
2024-06-20,121000,8538298
2024-06-19,104700,410996
2024-06-18,103100,718167
2024-06-17,108800,760092
2024-06-14,111900,922260
2024-06-13,105100,524507
2024-06-12,104200,376204
2024-06-11,103600,440537
2024-06-10,101300,384598
2024-06-07,103800,315977
2024-06-05,103600,474895
2024-06-04,104300,409559
2024-06-03,106300,1320915
2024-05-31,100000,908750
2024-05-30,102200,361181
2024-05-29,102100,324736
2024-05-28,105000,163498
2024-05-27,105100,297670
2024-05-24,101700,453820
2024-05-23,104200,233166
2024-05-22,105400,253684
2024-05-21,105700,256072
2024-05-20,108100,177298
2024-05-17,107700,237202
2024-05-16,109700,307111
2024-05-14,110400,174816
2024-05-13,110800,160093
2024-05-10,111200,163644
2024-05-09,111400,336743
2024-05-08,113000,210373
2024-05-07,112200,254931
2024-05-03,109600,160242
2024-05-02,109000,223560
2024-04-30,111100,545936
2024-04-29,112700,548435
2024-04-26,106700,247709
2024-04-25,107500,207953
2024-04-24,110000,322770
2024-04-23,108400,187000
2024-04-22,110600,440984
2024-04-19,103800,345437
2024-04-18,106200,226720
2024-04-17,104800,351798
2024-04-16,103800,336311
2024-04-15,105300,490834
2024-04-12,108400,439283
2024-04-11,110600,852391
2024-04-09,117500,349338
2024-04-08,118800,485400
2024-04-05,118100,359226
2024-04-04,119900,347444
2024-04-03,117400,798593
2024-04-02,121800,512554
2024-04-01,117400,260572
2024-03-29,116000,444662
2024-03-28,118400,439918
2024-03-27,120700,242007
2024-03-26,120600,362055
2024-03-25,121000,341937
2024-03-22,120000,396268
2024-03-21,120000,451396
2024-03-20,119700,757266
2024-03-19,125100,627338
2024-03-18,125600,773227
2024-03-15,120000,362679
2024-03-14,120700,654907
2024-03-13,119800,409170
2024-03-12,120900,380181
2024-03-11,118600,192984
2024-03-08,119000,320682
2024-03-07,118800,489113
2024-03-06,115700,352436
2024-03-05,117400,389662
2024-03-04,117000,338468
2024-02-29,117100,539100
2024-02-28,119600,275426
2024-02-27,118600,299483
2024-02-26,120800,319428
2024-02-23,123200,248423
2024-02-22,123500,214849
2024-02-21,124100,301311
2024-02-20,126000,363614
2024-02-19,128900,509358
2024-02-16,127100,490180
2024-02-15,122300,214590
2024-02-14,122100,250400
2024-02-13,122900,381580
2024-02-08,121000,424162
2024-02-07,121000,663618
2024-02-06,120800,1101077
2024-02-05,127100,567422
2024-02-02,124400,395620
2024-02-01,121200,353237
2024-01-31,117100,267405
2024-01-30,116800,391765
2024-01-29,120300,417349
2024-01-26,115800,463460
2024-01-25,112100,347207
2024-01-24,112100,505801
2024-01-23,109800,457394
2024-01-22,108300,778932
2024-01-19,113600,620539
2024-01-18,116600,397572
