날짜,전일비,시가,고가,저가,종가,거래량
2024-10-17,+1550,48050,50500,48050,49500,235149
2024-10-16,-1450,49250,49300,47600,47950,302034
2024-10-15,-1100,48450,50200,48400,49400,602209
2024-10-14,-1900,51000,52200,50300,50500,330758
2024-10-11,-2900,54800,55700,52100,52400,474993
2024-10-10,+2600,52700,55800,51200,55300,785936
2024-10-08,-900,52800,53000,51000,52700,476772
2024-10-07,+5200,47000,53600,46950,53600,1153490
2024-10-04,-3000,50400,50700,48050,48400,770225
2024-10-02,-900,49800,53000,49100,51400,602268
