날짜,전일비,시가,고가,저가,종가,거래량
2024-10-15,-10,5080,5090,5010,5070,126689
2024-10-14,+30,5010,5080,4960,5080,228806
2024-10-11,-20,5080,5090,4985,5050,222229
2024-10-10,+70,5040,5070,4975,5070,509212
2024-10-08,+95,4870,5000,4830,5000,417492
2024-10-07,+20,4845,4925,4840,4905,294958
2024-10-04,+25,4850,4885,4785,4885,618423
2024-10-02,+5,4835,4880,4770,4860,412130
2024-09-30,-110,5000,5010,4820,4855,819361
2024-09-27,-95,5010,5060,4965,4965,496831
