날짜,종가,거래량
2024-10-17,340500,78612
2024-10-16,340000,400446
2024-10-15,351000,444739
2024-10-14,359000,318814
2024-10-11,373000,422704
2024-10-10,369500,274438
2024-10-08,371000,298267
2024-10-07,367500,362434
2024-10-04,361500,345852
2024-10-02,371500,279245
2024-09-30,378500,323768
2024-09-27,384000,235806
2024-09-26,387500,374940
2024-09-25,381500,356083
2024-09-24,387500,487932
2024-09-23,379000,274345
2024-09-20,376500,453676
2024-09-19,372000,368651
2024-09-13,365000,273600
2024-09-12,364000,449547
2024-09-11,366000,702797
2024-09-10,333000,331169
2024-09-09,344000,252703
2024-09-06,343000,587735
2024-09-05,365500,390367
2024-09-04,358000,444422
2024-09-03,371000,504052
2024-09-02,369000,697416
2024-08-30,354000,382399
2024-08-29,358500,759750
2024-08-28,339500,562530
2024-08-27,338000,417485
2024-08-26,332000,295574
2024-08-23,330500,194293
2024-08-22,335500,434679
2024-08-21,328500,744340
2024-08-20,311000,402441
2024-08-19,309000,378524
2024-08-16,320500,374911
2024-08-14,323500,254144
2024-08-13,315500,274332
2024-08-12,319500,276860
2024-08-09,310000,352311
2024-08-08,303000,357536
2024-08-07,316000,260387
2024-08-06,318500,406677
2024-08-05,304000,588001
2024-08-02,336500,428561
2024-08-01,334000,457374
2024-07-31,319500,808998
2024-07-30,330500,423808
2024-07-29,335500,279493
2024-07-26,339000,179285
2024-07-25,343500,400368
2024-07-24,333500,231832
2024-07-23,335500,390417
2024-07-22,342500,398483
2024-07-19,357500,267075
2024-07-18,355000,290914
2024-07-17,356000,371761
2024-07-16,360000,582218
2024-07-15,377500,227369
2024-07-12,380000,436667
2024-07-11,389500,625762
2024-07-10,373000,345711
2024-07-09,382500,271592
2024-07-08,381500,293821
2024-07-05,382000,536501
2024-07-04,374500,464023
2024-07-03,366500,636916
2024-07-02,351500,516425
2024-07-01,367000,455716
2024-06-28,354000,545864
2024-06-27,361000,448702
2024-06-26,369000,310007
2024-06-25,368500,395918
2024-06-24,377500,296362
2024-06-21,389000,326437
2024-06-20,392000,215377
2024-06-19,392500,337842
2024-06-18,375000,258029
2024-06-17,381000,225594
2024-06-14,383500,322311
2024-06-13,391500,390293
2024-06-12,393500,191642
2024-06-11,392500,336622
2024-06-10,393000,327819
2024-06-07,399000,305543
2024-06-05,391500,429783
2024-06-04,378000,220476
2024-06-03,377000,255766
2024-05-31,374500,470697
2024-05-30,379000,298981
2024-05-29,385000,590144
2024-05-28,404500,199641
2024-05-27,415000,288086
2024-05-24,401000,199162
2024-05-23,405500,261313
2024-05-22,408500,205086
2024-05-21,411500,262133
2024-05-20,424000,183645
2024-05-17,431000,178628
2024-05-16,441500,216078
2024-05-14,438500,185778
2024-05-13,433000,195554
2024-05-10,429000,144928
2024-05-09,430500,242808
2024-05-08,437000,156159
2024-05-07,435000,265531
2024-05-03,438000,196672
2024-05-02,443500,467701
2024-04-30,434000,482425
2024-04-29,421000,233608
2024-04-26,408500,239111
2024-04-25,413500,252901
2024-04-24,422000,337918
2024-04-23,407000,294568
2024-04-22,421500,342272
2024-04-19,401000,335045
2024-04-18,405500,322387
2024-04-17,386000,267059
2024-04-16,386500,245249
2024-04-15,394000,274388
2024-04-12,401000,269656
2024-04-11,407500,316145
2024-04-09,411000,313504
2024-04-08,420000,461096
2024-04-05,420500,429686
2024-04-04,442000,449367
2024-04-03,428000,601115
2024-04-02,453000,369009
2024-04-01,454000,455659
2024-03-29,471000,586778
2024-03-28,477500,485116
2024-03-27,480500,577141
2024-03-26,473000,822461
2024-03-25,486000,840495
2024-03-22,472500,779394
2024-03-21,455500,537490
2024-03-20,453000,910857
2024-03-19,451000,655915
2024-03-18,444000,569305
2024-03-15,425000,785190
2024-03-14,446000,799779
2024-03-13,459500,1060664
2024-03-12,459500,1470069
2024-03-11,413500,533937
2024-03-08,426000,1764503
2024-03-07,412000,1771829
2024-03-06,364500,220362
2024-03-05,366500,296735
2024-03-04,374500,302231
2024-02-29,377000,246129
2024-02-28,381500,191287
2024-02-27,381000,260974
2024-02-26,391000,183001
2024-02-23,388500,239275
2024-02-22,395000,204188
2024-02-21,400000,178105
2024-02-20,395000,231525
2024-02-19,394500,346748
2024-02-16,404500,521244
2024-02-15,386000,258465
2024-02-14,386500,205747
2024-02-13,391000,253552
2024-02-08,385000,368228
2024-02-07,382000,454296
2024-02-06,374000,348821
2024-02-05,387000,327198
2024-02-02,393000,380372
2024-02-01,377500,305271
2024-01-31,372500,352675
2024-01-30,374500,524836
2024-01-29,379000,557298
2024-01-26,360500,597180
2024-01-25,347500,436330
2024-01-24,354000,519692
2024-01-23,358500,533096
2024-01-22,358000,571765
2024-01-19,374000,329271
2024-01-18,376500,477618
2024-01-17,379000,511751
2024-01-16,395000,312693
2024-01-15,400000,337909
2024-01-12,408000,369362
2024-01-11,416500,331233
2024-01-10,416500,562351
2024-01-09,432000,210683
2024-01-08,436000,213935
2024-01-05,445000,172950
2024-01-04,445000,201870
2024-01-03,446500,350254
2024-01-02,467000,195216
2023-12-28,472000,301048
2023-12-27,455500,173135
2023-12-26,447000,141182
2023-12-22,450500,166640
2023-12-21,451000,243286
2023-12-20,462000,308987
2023-12-19,450500,213617
2023-12-18,451500,214655
2023-12-15,452500,478586
2023-12-14,448500,484805
2023-12-13,429500,311146
2023-12-12,445500,234611
2023-12-11,446000,305967
2023-12-08,450000,220251
2023-12-07,443500,268573
2023-12-06,433500,350012
2023-12-05,444000,193240
2023-12-04,439500,471966
2023-12-01,447000,436363
2023-11-30,472000,383120
2023-11-29,471500,245968
2023-11-28,455000,219732
2023-11-27,453500,206628
2023-11-24,463000,250887
2023-11-23,475000,191498
2023-11-22,471500,214222
2023-11-21,466000,305803
2023-11-20,460500,237729
2023-11-17,444000,216245
2023-11-16,455000,243428
2023-11-15,448500,385615
2023-11-14,435000,373809
2023-11-13,417000,277544
2023-11-10,420000,387751
2023-11-09,439500,354047
2023-11-08,450000,380310
2023-11-07,466000,642838
2023-11-06,506000,979940
2023-11-03,454000,323288
2023-11-02,451000,445802
2023-11-01,425500,389358
2023-10-31,425500,458098
2023-10-30,452000,490326
2023-10-27,452000,558062
2023-10-26,423000,789835
2023-10-25,445500,588982
2023-10-24,480000,359957
2023-10-23,474000,371565
2023-10-20,480000,272354
2023-10-19,494000,312509
2023-10-18,512000,142190
2023-10-17,524000,170188
2023-10-16,514000,146018
2023-10-13,526000,165552
2023-10-12,535000,334093
2023-10-11,511000,334945
2023-10-10,490000,279139
2023-10-06,481000,228092
2023-10-05,489000,321504
2023-10-04,484500,651037
2023-09-27,512000,308361
2023-09-26,522000,197748
2023-09-25,521000,253968
2023-09-22,533000,266207
2023-09-21,538000,263903
2023-09-20,563000,178160
2023-09-19,558000,169638
2023-09-18,567000,213637
2023-09-15,581000,272850
2023-09-14,584000,309653
2023-09-13,558000,175344
2023-09-12,558000,361888
2023-09-11,573000,225226
2023-09-08,589000,171037
2023-09-07,595000,216249
2023-09-06,603000,140298
2023-09-05,616000,147533
2023-09-04,610000,125600
2023-09-01,596000,156207
2023-08-31,614000,220252
2023-08-30,606000,135863
2023-08-29,596000,101510
2023-08-28,599000,82216
2023-08-25,595000,115672
2023-08-24,594000,189468
2023-08-23,586000,187308
2023-08-22,598000,138952
2023-08-21,590000,123795
2023-08-18,597000,139460
2023-08-17,608000,189571
2023-08-16,601000,188255
2023-08-14,610000,217209
2023-08-11,633000,205353
2023-08-10,622000,144517
2023-08-09,634000,202298
2023-08-08,614000,216777
2023-08-07,617000,275197
2023-08-04,635000,140213
2023-08-03,639000,239993
2023-08-02,650000,278182
2023-08-01,670000,316546
2023-07-31,665000,396958
2023-07-28,663000,311265
2023-07-27,662000,560783
2023-07-26,703000,630733
2023-07-25,712000,284582
2023-07-24,712000,404793
2023-07-21,686000,163870
2023-07-20,685000,213207
2023-07-19,695000,299355
2023-07-18,699000,275226
2023-07-17,695000,198023
2023-07-14,716000,185435
2023-07-13,715000,281166
2023-07-12,689000,103061
2023-07-11,686000,112989
2023-07-10,685000,167259
2023-07-07,697000,134175
2023-07-06,703000,178044
2023-07-05,708000,130151
2023-07-04,711000,243325
2023-07-03,717000,341742
2023-06-30,669000,253831
2023-06-29,665000,225876
2023-06-28,657000,268136
2023-06-27,678000,162584
2023-06-26,683000,139271
2023-06-23,683000,186774
2023-06-22,695000,154204
2023-06-21,695000,187104
2023-06-20,702000,229017
2023-06-19,715000,165447
2023-06-16,727000,178267
2023-06-15,727000,175549
2023-06-14,731000,198157
2023-06-13,742000,146848
2023-06-12,740000,136383
2023-06-09,735000,150901
2023-06-08,729000,197396
2023-06-07,735000,228145
2023-06-05,717000,77553
2023-06-02,715000,155491
2023-06-01,708000,134626
2023-05-31,718000,280762
2023-05-30,718000,208259
2023-05-26,693000,124561
2023-05-25,700000,179880
2023-05-24,714000,140941
2023-05-23,710000,175511
2023-05-22,700000,152734
2023-05-19,698000,228854
2023-05-18,692000,141399
2023-05-17,691000,178280
2023-05-16,671000,136572
2023-05-15,674000,189664
2023-05-12,665000,146189
2023-05-11,670000,178109
2023-05-10,672000,142401
2023-05-09,680000,200372
2023-05-08,684000,206578
2023-05-04,684000,174917
2023-05-03,684000,223955
2023-05-02,700000,220723
2023-04-28,691000,545959
2023-04-27,706000,263169
2023-04-26,703000,220437
2023-04-25,706000,258603
2023-04-24,726000,161151
2023-04-21,734000,206651
2023-04-20,749000,182001
2023-04-19,758000,221589
2023-04-18,766000,291568
2023-04-17,755000,214568
2023-04-14,762000,236270
2023-04-13,769000,278712
2023-04-12,764000,290987
2023-04-11,767000,441472
2023-04-10,749000,352685
2023-04-07,738000,259085
2023-04-06,745000,402833
2023-04-05,778000,470031
2023-04-04,726000,208636
2023-04-03,745000,222650
2023-03-31,735000,248260
2023-03-30,721000,205051
2023-03-29,735000,266278
2023-03-28,722000,171326
