날짜,전일비,시가,고가,저가,종가,거래량
2024-10-17,-300,168900,170900,167100,168700,108684
2024-10-16,-2100,172300,172900,168100,169000,366010
2024-10-15,-4800,176600,180000,170000,171100,551830
2024-10-14,-5000,178600,180000,175100,175900,437477
2024-10-11,-5400,186500,190200,180600,180900,503426
2024-10-10,-6700,194400,194500,186000,186300,867580
2024-10-08,+300,190700,193700,188400,193000,482782
2024-10-07,+9300,185800,194000,184500,192700,761883
2024-10-04,-6700,190100,192900,183400,183400,602272
2024-10-02,+5600,183400,192800,182500,190100,626291
