날짜,종가,거래량
2024-10-17,95800,669049
2024-10-16,97800,1442581
2024-10-15,99700,742330
2024-10-14,100600,512895
2024-10-11,101100,586806
2024-10-10,100800,1347031
2024-10-08,99600,953986
2024-10-07,100400,747649
2024-10-04,98000,953289
2024-10-02,98700,947817
2024-09-30,99900,1408649
2024-09-27,104800,1180495
2024-09-26,104900,954693
2024-09-25,102800,873655
2024-09-24,103800,1004487
2024-09-23,103200,758934
2024-09-20,105600,1898045
2024-09-19,103500,1700541
2024-09-13,100500,1051359
2024-09-12,99100,1965672
2024-09-11,96200,1788449
2024-09-10,100200,709669
2024-09-09,100800,665413
2024-09-06,100000,1130536
2024-09-05,100700,1103725
2024-09-04,100200,1394527
2024-09-03,102200,1021486
2024-09-02,106100,1014420
2024-08-30,106100,3386834
2024-08-29,106600,1623481
2024-08-28,104600,827919
2024-08-27,101800,657152
2024-08-26,102800,538340
2024-08-23,104000,680599
2024-08-22,102400,458855
2024-08-21,103000,566956
2024-08-20,103400,895891
2024-08-19,103200,806135
2024-08-16,105900,1467142
2024-08-14,102300,713158
2024-08-13,102800,727338
2024-08-12,102100,639297
2024-08-09,101900,1080152
2024-08-08,101600,1074481
2024-08-07,101600,1475882
2024-08-06,102700,1867054
2024-08-05,96300,2493835
2024-08-02,107100,1332881
2024-08-01,112100,615829
2024-07-31,112100,882651
2024-07-30,111600,765612
2024-07-29,113700,1192545
2024-07-26,112100,1582067
2024-07-25,115000,1138700
2024-07-24,118400,689203
2024-07-23,120500,1194748
2024-07-22,115900,968117
2024-07-19,116300,1498610
2024-07-18,119900,864546
2024-07-17,121000,944338
2024-07-16,122900,891422
2024-07-15,120000,669497
2024-07-12,121300,863955
2024-07-11,122300,998099
2024-07-10,122000,1118813
2024-07-09,122500,1662846
2024-07-08,124200,999050
2024-07-05,126300,805600
2024-07-04,125600,793881
2024-07-03,123700,1035953
2024-07-02,123600,1369592
2024-07-01,128600,659327
2024-06-28,129300,1026360
2024-06-27,131500,901065
2024-06-26,130800,1219468
2024-06-25,129000,1100760
2024-06-24,128300,712382
2024-06-21,127900,1680099
2024-06-20,130600,1110575
2024-06-19,132300,1606458
2024-06-18,131000,2632809
2024-06-17,129100,2654199
2024-06-14,122700,1278973
2024-06-13,121700,2186257
2024-06-12,122500,970708
2024-06-11,122000,1214447
2024-06-10,121400,970865
2024-06-07,121100,976721
2024-06-05,119500,1068743
2024-06-04,119000,820199
2024-06-03,120700,906152
2024-05-31,117700,2011874
2024-05-30,117700,1096042
2024-05-29,122000,1277990
2024-05-28,122400,1096369
2024-05-27,122500,1644197
2024-05-24,120000,1463021
2024-05-23,120500,1760819
2024-05-22,118900,2260904
2024-05-21,114400,695579
2024-05-20,114900,850630
2024-05-17,112700,1087425
2024-05-16,114700,963262
2024-05-14,113900,788713
2024-05-13,114300,935835
2024-05-10,114100,1422408
2024-05-09,111700,1762344
2024-05-08,116000,792482
2024-05-07,115700,1204913
2024-05-03,113900,1779155
2024-05-02,119600,1246995
2024-04-30,118000,1264927
2024-04-29,118300,1820652
2024-04-26,118200,2705868
2024-04-25,116600,1708852
2024-04-24,116200,1178637
2024-04-23,115900,1392773
2024-04-22,115100,1916502
2024-04-19,110400,2114673
2024-04-18,112200,1665994
2024-04-17,113100,1576611
2024-04-16,114700,1988405
2024-04-15,114600,2446762
2024-04-12,109800,1226958
2024-04-11,111700,2217580
2024-04-09,108000,1652638
2024-04-08,108500,2070252
2024-04-05,105000,1944665
2024-04-04,106700,2078100
2024-04-03,101800,1671419
2024-04-02,104700,2520832
2024-04-01,108700,1112885
2024-03-29,110200,1307187
2024-03-28,112000,1350186
2024-03-27,113600,1270063
2024-03-26,114400,2021266
2024-03-25,111500,1550861
2024-03-22,112900,2811721
2024-03-21,115700,2960845
2024-03-20,115700,2379123
2024-03-19,118900,3390443
2024-03-18,128000,1548673
2024-03-15,125000,2180445
2024-03-14,128500,1913544
2024-03-13,125900,1396568
2024-03-12,126100,1085368
2024-03-11,126200,1885521
2024-03-08,128400,2324865
2024-03-07,126100,1849757
2024-03-06,127000,2543361
2024-03-05,123000,2940381
2024-03-04,125600,3032627
2024-02-29,124500,5862121
2024-02-28,117700,1833765
2024-02-27,112600,2108829
2024-02-26,114600,2748769
2024-02-23,118400,2253030
2024-02-22,119300,3154400
2024-02-21,116800,1845668
2024-02-20,116100,1952950
2024-02-19,117600,1750923
2024-02-16,115800,2159137
2024-02-15,113500,2518069
2024-02-14,117600,1530264
2024-02-13,117200,3370853
2024-02-08,113200,2788161
2024-02-07,114700,4555156
