날짜,전일비,시가,고가,저가,종가,거래량
2024-10-17,+4500,234000,241000,234000,238000,76027
2024-10-16,-1000,237500,240000,233000,233500,253161
2024-10-15,-6500,242500,245500,230500,234500,344490
2024-10-14,-5500,243000,248500,239500,241000,238495
2024-10-11,-6500,255500,260000,245500,246500,266593
2024-10-10,-5500,260000,260500,252000,253000,353481
2024-10-08,+5000,250500,259500,249000,258500,353561
2024-10-07,+11000,245500,254000,243500,253500,376174
2024-10-04,-6500,247500,248500,241000,242500,375808
2024-10-02,-1000,248500,255000,246500,249000,330657
