날짜,종가,거래량
2023-11-24,514000,269104
2023-11-23,519000,339574
2023-11-22,504000,137990
2023-11-21,501000,173343
2023-11-20,493500,236740
2023-11-17,484000,195198
2023-11-16,480000,141192
2023-11-15,480000,261064
2023-11-14,465000,196531
2023-11-13,453500,180132
2023-11-10,457500,192219
2023-11-09,467500,378393
2023-11-08,478000,276747
2023-11-07,492000,539187
2023-11-06,521000,713254
2023-11-03,471000,296159
2023-11-02,455500,285900
2023-11-01,431000,352808
2023-10-31,440000,433840
2023-10-30,445000,363083
2023-10-27,438500,601730
2023-10-26,426000,685812
2023-10-25,458000,405933
2023-10-24,492000,340115
2023-10-23,481000,292347
2023-10-20,479000,349050
2023-10-19,494000,462488
2023-10-18,506000,177343
2023-10-17,516000,193389
2023-10-16,513000,257701
2023-10-13,528000,149218
2023-10-12,529000,320061
2023-10-11,518000,356936
2023-10-10,497500,271381
2023-10-06,499500,169375
2023-10-05,502000,286883
2023-10-04,486000,544310
2023-09-27,496500,379178
2023-09-26,505000,228941
2023-09-25,509000,224034
2023-09-22,517000,254370
2023-09-21,525000,599866
2023-09-20,551000,239783
2023-09-19,552000,293242
2023-09-18,573000,204926
2023-09-15,573000,366386
2023-09-14,553000,329285
2023-09-13,540000,330861
2023-09-12,559000,132378
2023-09-11,561000,120007
2023-09-08,564000,271069
2023-09-07,577000,225581
2023-09-06,585000,147451
2023-09-05,592000,174044
2023-09-04,586000,273574
2023-09-01,570000,163494
2023-08-31,583000,287714
2023-08-30,576000,290928
2023-08-29,560000,157444
2023-08-28,563000,191493
2023-08-25,560000,197844
2023-08-24,563000,215589
2023-08-23,562000,160649
2023-08-22,573000,186466
2023-08-21,568000,240323
2023-08-18,569000,230975
2023-08-17,581000,414889
2023-08-16,584000,290601
2023-08-14,597000,361375
2023-08-11,622000,163446
2023-08-10,634000,210456
2023-08-09,630000,204061
2023-08-08,615000,234283
2023-08-07,615000,296920
2023-08-04,636000,217939
2023-08-03,643000,270159
2023-08-02,642000,320098
2023-08-01,655000,486703
2023-07-31,648000,497694
2023-07-28,650000,595011
2023-07-27,658000,875950
2023-07-26,728000,1219557
2023-07-25,725000,470635
2023-07-24,713000,593589
2023-07-21,694000,232253
2023-07-20,685000,282841
2023-07-19,687000,281004
2023-07-18,679000,251222
2023-07-17,670000,152544
2023-07-14,680000,271672
2023-07-13,670000,488183
2023-07-12,653000,278392
2023-07-11,654000,193263
2023-07-10,654000,210646
2023-07-07,656000,274332
2023-07-06,664000,221272
2023-07-05,676000,197455
2023-07-04,680000,221408
2023-07-03,691000,227535
2023-06-30,667000,176510
2023-06-29,660000,293283
2023-06-28,662000,523591
2023-06-27,703000,150949
2023-06-26,703000,145097
2023-06-23,709000,170902
2023-06-22,721000,146160
2023-06-21,723000,177750
2023-06-20,739000,204789
2023-06-19,752000,315174
2023-06-16,743000,355710
2023-06-15,722000,254423
2023-06-14,719000,265425
2023-06-13,736000,155147
2023-06-12,746000,140486
2023-06-09,752000,235688
2023-06-08,737000,249933
2023-06-07,746000,297767
2023-06-05,723000,148006
2023-06-02,721000,346407
2023-06-01,687000,258102
2023-05-31,693000,489828
2023-05-30,702000,182533
2023-05-26,706000,133917
2023-05-25,712000,158080
2023-05-24,720000,181354
2023-05-23,719000,375157
2023-05-22,700000,161714
2023-05-19,698000,161829
2023-05-18,709000,151282
2023-05-17,709000,136372
2023-05-16,695000,179012
2023-05-15,691000,175241
2023-05-12,688000,232162
2023-05-11,691000,311828
2023-05-10,709000,201484
2023-05-09,722000,149656
2023-05-08,726000,150083
2023-05-04,731000,149664
2023-05-03,726000,159157
2023-05-02,746000,203437
2023-04-28,740000,257164
2023-04-27,741000,315286
2023-04-26,727000,240656
2023-04-25,742000,311844
2023-04-24,767000,221374
2023-04-21,771000,280781
2023-04-20,800000,281434
2023-04-19,790000,388626
2023-04-18,825000,359378
2023-04-17,805000,351391
2023-04-14,802000,372206
2023-04-13,802000,500579
2023-04-12,775000,614112
2023-04-11,806000,1194745
2023-04-10,750000,435352
2023-04-07,714000,176079
2023-04-06,716000,214460
2023-04-05,732000,173102
2023-04-04,722000,357335
2023-04-03,712000,210319
2023-03-31,712000,234893
2023-03-30,696000,181406
2023-03-29,705000,146056
2023-03-28,704000,238741
2023-03-27,698000,175698
2023-03-24,690000,243174
2023-03-23,712000,202975
2023-03-22,703000,206510
2023-03-21,677000,220078
2023-03-20,683000,242829
2023-03-17,702000,495493
2023-03-16,730000,224294
2023-03-15,721000,153827
2023-03-14,705000,189009
2023-03-13,718000,291597
2023-03-10,707000,195645
2023-03-09,710000,222278
2023-03-08,715000,229545
2023-03-07,740000,372754
2023-03-06,726000,274209
2023-03-03,703000,236335
2023-03-02,678000,174629
2023-02-28,680000,252098
2023-02-27,657000,175530
2023-02-24,669000,145162
2023-02-23,668000,127506
2023-02-22,666000,192246
2023-02-21,687000,220058
2023-02-20,667000,242105
2023-02-17,689000,257670
2023-02-16,717000,405051
2023-02-15,674000,139846
2023-02-14,676000,160165
2023-02-13,670000,114841
2023-02-10,673000,129178
2023-02-09,680000,206970
2023-02-08,672000,134248
2023-02-07,681000,241408
2023-02-06,658000,169927
2023-02-03,674000,211018
2023-02-02,676000,275597
2023-02-01,688000,282102
2023-01-31,690000,310432
2023-01-30,683000,250561
2023-01-27,685000,186406
2023-01-26,685000,257413
2023-01-25,652000,221307
2023-01-20,625000,134554
2023-01-19,621000,143197
2023-01-18,613000,146564
2023-01-17,619000,192280
2023-01-16,638000,111249
2023-01-13,644000,153532
2023-01-12,637000,152114
2023-01-11,634000,130042
2023-01-10,629000,217651
2023-01-09,624000,187189
2023-01-06,594000,135877
2023-01-05,581000,190445
2023-01-04,601000,129672
2023-01-03,601000,112173
2023-01-02,604000,108253
2022-12-29,600000,103968
2022-12-28,602000,178560
2022-12-27,628000,113845
2022-12-26,618000,99300
2022-12-23,610000,135064
2022-12-22,626000,102015
2022-12-21,620000,98514
2022-12-20,631000,88474
2022-12-19,633000,101519
2022-12-16,645000,176864
2022-12-15,643000,170130
2022-12-14,646000,208017
2022-12-13,623000,280770
2022-12-12,628000,189748
2022-12-09,627000,438095
2022-12-08,670000,249650
2022-12-07,679000,171428
2022-12-06,686000,148248
2022-12-05,696000,245961
2022-12-02,711000,163235
2022-12-01,722000,249831
2022-11-30,740000,320344
2022-11-29,715000,111726
2022-11-28,719000,138547
