날짜,종가,거래량
2024-10-15,234000,146895
2024-10-14,241000,238495
2024-10-11,246500,266593
2024-10-10,253000,353481
2024-10-08,258500,353561
2024-10-07,253500,376174
2024-10-04,242500,375808
2024-10-02,249000,330657
2024-09-30,250000,572014
2024-09-27,251000,325071
2024-09-26,253000,377233
2024-09-25,247000,404637
2024-09-24,251000,632559
2024-09-23,240000,293834
2024-09-20,234000,305546
2024-09-19,233500,254289
2024-09-13,232000,357512
2024-09-12,234000,647503
2024-09-11,219500,658475
2024-09-10,201500,386550
2024-09-09,206000,485770
2024-09-06,216000,543988
2024-09-05,234500,633589
2024-09-04,240500,671018
2024-09-03,241000,596735
2024-09-02,246500,1392140
2024-08-30,214500,253338
2024-08-29,216000,271995
2024-08-28,211000,213330
2024-08-27,220000,222989
2024-08-26,218000,218832
2024-08-23,213500,226603
2024-08-22,219000,385018
2024-08-21,209500,343583
2024-08-20,202500,174608
2024-08-19,200500,279465
2024-08-16,210500,211271
2024-08-14,210000,221565
2024-08-13,205000,263043
2024-08-12,208000,204843
2024-08-09,205500,391088
2024-08-08,199500,532765
2024-08-07,210500,294955
2024-08-06,217000,498400
2024-08-05,203000,642537
2024-08-02,226000,471674
2024-08-01,221500,449794
2024-07-31,211500,226679
2024-07-30,215500,297007
2024-07-29,214000,299782
2024-07-26,209000,688469
2024-07-25,226000,518180
2024-07-24,227500,303053
2024-07-23,234000,315099
2024-07-22,241500,304044
2024-07-19,257000,283932
2024-07-18,246500,348792
2024-07-17,247000,370137
2024-07-16,255500,349731
2024-07-15,268500,380308
2024-07-12,273000,375278
2024-07-11,269500,458230
2024-07-10,258000,163726
2024-07-09,261000,215758
2024-07-08,267000,311728
2024-07-05,266500,191970
2024-07-04,268000,290635
2024-07-03,265500,366470
2024-07-02,262000,244706
2024-07-01,269000,354236
2024-06-28,258500,230106
2024-06-27,254500,185414
2024-06-26,254500,169149
2024-06-25,254000,243992
2024-06-24,258000,240219
2024-06-21,258000,276503
2024-06-20,260500,208837
2024-06-19,267500,391298
2024-06-18,258500,263228
2024-06-17,263500,325863
2024-06-14,273000,410260
2024-06-13,286000,385378
2024-06-12,280500,321117
2024-06-11,286000,702289
2024-06-10,275000,337058
2024-06-07,282000,469137
2024-06-05,275500,624645
2024-06-04,262000,311557
2024-06-03,255000,335620
2024-05-31,250500,480824
2024-05-30,250000,327148
2024-05-29,255000,364095
2024-05-28,267000,237625
2024-05-27,275000,504623
2024-05-24,254500,255098
2024-05-23,261500,204587
2024-05-22,262000,183023
2024-05-21,263000,258794
2024-05-20,271000,219723
2024-05-17,276500,153552
2024-05-16,280500,252686
2024-05-14,274500,160805
2024-05-13,276000,164151
2024-05-10,280500,176598
2024-05-09,282500,249792
2024-05-08,282500,194680
2024-05-07,280000,252888
2024-05-03,280500,296566
2024-05-02,280000,199762
2024-04-30,283500,336697
2024-04-29,286000,321089
2024-04-26,281000,381461
2024-04-25,280500,561953
2024-04-24,297000,829748
2024-04-23,275000,324620
2024-04-22,277000,503319
2024-04-19,253500,274965
2024-04-18,258500,361458
2024-04-17,249000,302932
2024-04-16,257000,343562
2024-04-15,264000,251660
2024-04-12,268000,377005
2024-04-11,282500,265112
2024-04-09,280000,376961
2024-04-08,281500,546034
2024-04-05,267000,211285
2024-04-04,274500,288903
2024-04-03,271000,414268
2024-04-02,287000,328020
2024-04-01,296000,254732
2024-03-29,303500,274596
2024-03-28,302500,345074
2024-03-27,312000,258973
2024-03-26,314500,320072
2024-03-25,320500,275176
2024-03-22,318500,200426
2024-03-21,318500,280963
2024-03-20,315500,241743
2024-03-19,321500,286202
2024-03-18,322000,293028
2024-03-15,316500,344553
2024-03-14,323500,636662
2024-03-13,334500,374120
2024-03-12,336000,526362
2024-03-11,317000,213300
2024-03-08,320500,311390
2024-03-07,316500,336391
2024-03-06,310000,323918
2024-03-05,317000,506414
2024-03-04,334500,559536
2024-02-29,317000,307482
2024-02-28,313000,408632
2024-02-27,309500,447586
2024-02-26,318000,365834
2024-02-23,314500,495948
2024-02-22,305500,396492
2024-02-21,307500,423507
2024-02-20,304500,594713
2024-02-19,296500,377480
2024-02-16,303000,546393
2024-02-15,300500,765158
2024-02-14,285500,555130
2024-02-13,276000,486337
2024-02-08,282500,669142
2024-02-07,269000,783209
2024-02-06,260000,306573
2024-02-05,265000,330524
2024-02-02,264500,451567
2024-02-01,260000,707412
2024-01-31,253500,310390
2024-01-30,254000,592699
2024-01-29,258000,561807
2024-01-26,267000,696846
2024-01-25,251000,612060
2024-01-24,261000,443127
2024-01-23,265500,534748
2024-01-22,263000,671498
2024-01-19,278500,490126
2024-01-18,284500,515850
2024-01-17,288500,501909
2024-01-16,303500,352034
2024-01-15,306000,365664
2024-01-12,314000,462482
2024-01-11,322500,454458
2024-01-10,320500,327992
2024-01-09,327500,252757
2024-01-08,330500,484724
2024-01-05,343000,601842
2024-01-04,330500,437701
2024-01-03,332000,569557
2024-01-02,352000,331687
2023-12-28,359000,344381
2023-12-27,357500,678513
2023-12-26,348000,478578
2023-12-22,355000,557559
2023-12-21,368000,1138550
2023-12-20,368000,546188
2023-12-19,360500,492440
2023-12-18,365500,815933
2023-12-15,360500,1195622
2023-12-14,350000,1254122
2023-12-13,325500,627600
2023-12-12,341000,472465
2023-12-11,340000,617633
2023-12-08,343000,854376
2023-12-07,334500,1144909
2023-12-06,318500,692201
2023-12-05,323000,1287666
2023-12-04,348000,2308506
2023-12-01,314000,715920
2023-11-30,324500,889073
2023-11-29,327500,1061690
2023-11-28,304500,405263
2023-11-27,300000,410302
2023-11-24,303500,753792
2023-11-23,306000,326827
2023-11-22,303500,561263
2023-11-21,303500,584121
2023-11-20,300500,761493
2023-11-17,286000,552165
2023-11-16,293500,701953
2023-11-15,297500,1120565
2023-11-14,295500,1268064
2023-11-13,274500,723014
2023-11-10,277000,681972
2023-11-09,291500,1327132
2023-11-08,300000,1381755
2023-11-07,311000,3072294
2023-11-06,349500,3296384
2023-11-03,269000,1352525
2023-11-02,259500,1121030
2023-11-01,233500,968352
2023-10-31,236500,1219643
2023-10-30,255500,703471
2023-10-27,251500,1251301
2023-10-26,249500,1729825
2023-10-25,274000,1571091
2023-10-24,305000,1001599
2023-10-23,301500,675306
2023-10-20,300000,963534
2023-10-19,318000,545207
2023-10-18,334000,403158
2023-10-17,341000,479259
2023-10-16,335000,604688
2023-10-13,348000,524296
2023-10-12,348000,969703
2023-10-11,341000,703494
2023-10-10,314500,610018
2023-10-06,333000,314037
2023-10-05,333000,535263
2023-10-04,336000,689904
2023-09-27,359500,865533
2023-09-26,368000,461244
2023-09-25,369000,744903
2023-09-22,396000,415085
2023-09-21,398000,367224
2023-09-20,411000,332549
2023-09-19,396500,434711
2023-09-18,410500,437993
2023-09-15,408500,579578
2023-09-14,401500,645282
2023-09-13,387000,531467
2023-09-12,397000,642040
2023-09-11,407500,479324
2023-09-08,418000,505814
2023-09-07,412500,837784
2023-09-06,438000,427842
2023-09-05,452000,533241
2023-09-04,441000,496648
2023-09-01,431000,574493
2023-08-31,449500,495272
2023-08-30,453500,548500
2023-08-29,455000,934085
2023-08-28,472000,614583
2023-08-25,462500,836133
2023-08-24,469000,1019024
2023-08-23,422000,435993
2023-08-22,438000,591169
2023-08-21,426000,553545
2023-08-18,417500,474838
2023-08-17,424500,759125
2023-08-16,410500,589660
2023-08-14,434000,451086
2023-08-11,440500,392552
2023-08-10,452000,425129
2023-08-09,456000,562778
2023-08-08,447000,750901
2023-08-07,439000,1062545
2023-08-04,480500,485788
2023-08-03,488500,862043
2023-08-02,486000,901214
2023-08-01,509000,1086541
2023-07-31,527000,1119804
2023-07-28,510000,1966674
2023-07-27,486000,3100077
2023-07-26,560000,6017346
2023-07-25,598000,2764026
2023-07-24,542000,3084576
2023-07-21,490500,2088926
2023-07-20,464500,1469031
2023-07-19,480000,2084500
2023-07-18,458000,2625426
2023-07-17,404500,1015565
2023-07-14,401000,833714
2023-07-13,388500,759746
2023-07-12,390000,1069505
2023-07-11,396000,1224353
2023-07-10,408000,1671564
2023-07-07,398500,1134448
2023-07-06,373500,533322
2023-07-05,381000,535709
2023-07-04,375000,865857
2023-07-03,369000,741298
2023-06-30,353000,454178
2023-06-29,350000,449416
2023-06-28,349500,678008
2023-06-27,365000,630609
2023-06-26,374000,378577
2023-06-23,375000,330267
2023-06-22,377000,513061
2023-06-21,374000,528187
2023-06-20,373500,621619
2023-06-19,383000,623441
2023-06-16,381500,760876
2023-06-15,374000,1127585
2023-06-14,373000,1513458
2023-06-13,393000,935664
2023-06-12,388500,699464
2023-06-09,386500,712658
2023-06-08,385000,1019956
2023-06-07,385000,912506
2023-06-05,380000,1210855
2023-06-02,374000,1467089
2023-06-01,359500,858584
2023-05-31,350000,1343943
2023-05-30,341500,990729
2023-05-26,324000,479135
2023-05-25,327000,582103
2023-05-24,333500,677195
2023-05-23,333500,1317423
2023-05-22,323500,653853
2023-05-19,311000,648150
2023-05-18,318000,785132
2023-05-17,312000,521697
2023-05-16,310000,856091
2023-05-15,303500,882119
2023-05-12,300500,768616
2023-05-11,301500,879067
2023-05-10,306000,964708
2023-05-09,317000,1347051
2023-05-08,321500,1331129
2023-05-04,338500,1103655
2023-05-03,345000,962330
2023-05-02,352500,1870147
2023-04-28,335000,1703251
2023-04-27,340000,2112567
2023-04-26,332500,2715629
2023-04-25,347500,2014275
2023-04-24,363500,1678511
2023-04-21,379500,1774149
2023-04-20,408000,1301336
2023-04-19,414000,2781634
2023-04-18,382000,2627561
2023-04-17,384500,2642940
2023-04-14,342500,2772676
2023-04-13,303000,1140685
2023-04-12,303500,1271381
2023-04-11,310000,1305019
2023-04-10,305000,1742709
2023-04-07,296000,839635
2023-04-06,292500,713556
2023-04-05,291500,816783
2023-04-04,283000,1459277
2023-04-03,288500,1638721
2023-03-31,272500,1884239
2023-03-30,261500,916414
2023-03-29,266000,808472
2023-03-28,265500,858516
2023-03-27,265500,1621550
2023-03-24,261000,1171985
2023-03-23,260500,1818640
2023-03-22,255000,839693
2023-03-21,249500,1108137
2023-03-20,247000,804952
2023-03-17,252500,1537882
2023-03-16,269500,3694830
2023-03-15,241000,859189
2023-03-14,239000,928782
2023-03-13,248500,897218
2023-03-10,247000,886021
2023-03-09,252000,2218431
2023-03-08,263000,1727568
2023-03-07,260500,4383029
2023-03-06,234500,1425840
2023-03-03,229000,1557911
2023-03-02,218000,1054462
2023-02-28,221000,1059126
2023-02-27,220000,727979
2023-02-24,215500,577902
2023-02-23,217500,836462
2023-02-22,219000,1018645
2023-02-21,223000,1141456
2023-02-20,217000,1861599
2023-02-17,223500,1263612
2023-02-16,233000,926604
2023-02-15,229000,1269041
2023-02-14,228500,755446
2023-02-13,228500,966742
2023-02-10,229000,1581929
2023-02-09,242500,2242998
2023-02-08,225500,736445
2023-02-07,228000,853689
2023-02-06,225500,866264
2023-02-03,227500,1124018
2023-02-02,224000,898161
2023-02-01,223500,1520474
2023-01-31,224000,3381198
2023-01-30,218000,1563301
2023-01-27,211500,1963958
2023-01-26,208500,2418239
2023-01-25,182800,742542
2023-01-20,184500,541814
2023-01-19,184500,947181
2023-01-18,194000,572575
2023-01-17,198500,627194
2023-01-16,197000,480205
2023-01-13,193500,352493
2023-01-12,193500,676537
2023-01-11,194500,556850
2023-01-10,188500,916342
2023-01-09,190500,478404
2023-01-06,188500,608422
2023-01-05,183500,523987
2023-01-04,187500,853880
2023-01-03,187500,685871
2023-01-02,191500,894206
2022-12-29,180000,548339
2022-12-28,179000,846251
2022-12-27,189000,569243
2022-12-26,184500,659814
2022-12-23,178500,747478
2022-12-22,189000,434489
2022-12-21,187500,383355
2022-12-20,188500,422555
2022-12-19,189500,356923
2022-12-16,188500,463762
2022-12-15,188000,527767
2022-12-14,193500,619895
2022-12-13,186500,529437
2022-12-12,189500,881019
2022-12-09,193000,1167020
2022-12-08,204000,571945
2022-12-07,209000,425144
2022-12-06,206000,515055
2022-12-05,206500,850959
2022-12-02,214500,521051
2022-12-01,220500,486744
2022-11-30,218500,870693
2022-11-29,222500,261653
2022-11-28,221500,475097
2022-11-25,223500,320209
2022-11-24,224000,474140
2022-11-23,219500,405769
2022-11-22,218000,626483
2022-11-21,223000,451680
2022-11-18,224000,619647
2022-11-17,224500,599889
2022-11-16,225500,1210798
2022-11-15,236000,647568
2022-11-14,234000,1268714
2022-11-11,222000,920297
2022-11-10,219500,1067329
2022-11-09,216500,637049
2022-11-08,211500,911685
2022-11-07,214500,842336
2022-11-04,209500,861580
2022-11-03,212000,1559422
2022-11-02,198000,955501
2022-11-01,204000,702422
2022-10-31,199500,864922
2022-10-28,200000,896902
2022-10-27,199000,867169
2022-10-26,195000,763721
2022-10-25,198000,1851010
2022-10-24,194500,1070980
2022-10-21,187000,994042
2022-10-20,191000,1043326
2022-10-19,189500,2072717
2022-10-18,183000,1906457
2022-10-17,171000,886582
2022-10-14,160000,523415
2022-10-13,158500,681837
2022-10-12,162000,597592
2022-10-11,163000,660791
2022-10-07,161500,802953
2022-10-06,158500,859139
2022-10-05,147500,930765
2022-10-04,153500,687378
2022-09-30,150000,948498
2022-09-29,153000,1147742
2022-09-28,158500,1223129
2022-09-27,169000,806349
2022-09-26,166000,1089002
2022-09-23,175000,696885
2022-09-22,183500,456502
2022-09-21,179500,321706
2022-09-20,179000,459275
