날짜,종가,거래량
2024-10-17,20250,32089
2024-10-16,20150,167632
2024-10-15,20350,354957
2024-10-14,21000,159642
2024-10-11,20800,297554
2024-10-10,20500,175351
2024-10-08,20150,234288
2024-10-07,20000,159445
2024-10-04,20000,126110
2024-10-02,19990,199601
2024-09-30,20300,135405
2024-09-27,20650,150320
2024-09-26,20500,210095
2024-09-25,20000,114285
2024-09-24,20500,108044
2024-09-23,20600,191159
2024-09-20,20050,334996
2024-09-19,19100,420082
2024-09-13,20050,169750
2024-09-12,19950,345757
2024-09-11,19990,178033
2024-09-10,19960,172282
2024-09-09,20100,164699
2024-09-06,20250,332307
2024-09-05,20100,490956
2024-09-04,19900,247041
2024-09-03,19900,252348
2024-09-02,19900,312425
2024-08-30,18920,83448
2024-08-29,18780,107365
2024-08-28,18590,90734
2024-08-27,18480,157339
2024-08-26,18600,199680
2024-08-23,19050,223740
2024-08-22,19360,219300
2024-08-21,19140,213313
2024-08-20,19010,314570
2024-08-19,18640,153258
2024-08-16,18530,297615
2024-08-14,18070,187327
2024-08-13,17520,125649
2024-08-12,17460,175651
2024-08-09,17270,216740
2024-08-08,16980,307733
2024-08-07,17310,249174
2024-08-06,16990,552953
2024-08-05,15650,637061
2024-08-02,17450,468005
2024-08-01,18090,138880
2024-07-31,18070,194799
2024-07-30,18030,338680
2024-07-29,18470,194285
2024-07-26,18700,289236
2024-07-25,19060,265561
2024-07-24,18990,167075
2024-07-23,18980,413923
2024-07-22,19090,479104
2024-07-19,19850,200686
2024-07-18,19690,423390
2024-07-17,19630,324529
2024-07-16,19550,293441
2024-07-15,19630,395145
2024-07-12,19610,465312
2024-07-11,19970,299713
2024-07-10,20150,218543
2024-07-09,20400,189838
2024-07-08,20600,164925
2024-07-05,20150,272638
2024-07-04,20050,240840
2024-07-03,19800,390327
2024-07-02,20250,355255
2024-07-01,21050,243892
2024-06-28,21000,183707
2024-06-27,20850,210397
2024-06-26,20950,180458
2024-06-25,20800,254065
2024-06-24,20850,431304
2024-06-21,21750,379073
2024-06-20,21950,146158
2024-06-19,21800,205812
2024-06-18,21700,364007
2024-06-17,22250,173081
2024-06-14,22050,400314
2024-06-13,22400,219337
2024-06-12,22350,418104
2024-06-11,22800,776154
2024-06-10,23450,237054
2024-06-07,23300,267648
2024-06-05,23450,476807
2024-06-04,24000,197830
2024-06-03,24550,158162
2024-05-31,24650,252383
2024-05-30,24400,326814
2024-05-29,24800,338356
2024-05-28,25600,455466
2024-05-27,24900,253097
2024-05-24,25250,275396
2024-05-23,25550,274699
2024-05-22,25700,873840
2024-05-21,25500,3308714
2024-05-20,22850,720415
2024-05-17,23900,355747
2024-05-16,24000,847746
2024-05-14,24850,802371
2024-05-13,25800,785185
2024-05-10,27550,843715
2024-05-09,27000,237871
2024-05-08,27250,349372
2024-05-07,27200,398870
2024-05-03,27200,775656
2024-05-02,26250,445740
2024-04-30,26300,505752
2024-04-29,26800,423351
2024-04-26,26800,425738
2024-04-25,26250,312095
2024-04-24,25700,539514
2024-04-23,25100,159134
2024-04-22,24900,238228
2024-04-19,25250,260385
2024-04-18,25300,196874
2024-04-17,24950,219691
2024-04-16,24950,310257
2024-04-15,26050,176919
2024-04-12,26000,235152
2024-04-11,26000,285437
2024-04-09,25300,128323
2024-04-08,25650,277149
2024-04-05,25300,208932
2024-04-04,26100,286998
2024-04-03,26150,270848
2024-04-02,25950,305967
