날짜,전일비,시가,고가,저가,종가,거래량
2024-10-17,+600,104800,107000,104000,105700,50356
2024-10-16,+1600,106100,107300,100200,105100,369107
2024-10-15,-3500,107000,108100,102200,103500,258790
2024-10-14,-4300,108100,109900,105700,107000,280090
2024-10-11,-5000,116400,119000,110700,111300,329052
2024-10-10,-2400,120000,120100,114500,116300,337689
2024-10-08,-700,118600,120600,116100,118700,354012
2024-10-07,+11900,110800,119400,110300,119400,670387
2024-10-04,-6100,111700,112300,106200,107500,357323
2024-10-02,+100,110500,115300,108100,113600,324666
