날짜,전일비,시가,고가,저가,종가,거래량
2024-10-17,+500,340500,344500,340000,340500,78612
2024-10-16,-11000,353000,353500,340000,340000,400446
2024-10-15,-8000,362000,364000,347500,351000,444739
2024-10-14,-14000,365500,367000,358000,359000,318814
2024-10-11,+3500,373000,386000,369000,373000,422704
2024-10-10,-1500,374000,375000,369000,369500,274438
2024-10-08,+3500,364000,375000,361000,371000,298267
2024-10-07,+6000,365000,369500,358000,367500,362434
2024-10-04,-10000,367000,369500,361000,361500,345852
2024-10-02,-7000,372000,379000,370500,371500,279245
