날짜,종가,거래량
2024-10-15,102800,113571
2024-10-14,107000,280090
2024-10-11,111300,329052
2024-10-10,116300,337689
2024-10-08,118700,354012
2024-10-07,119400,670387
2024-10-04,107500,357323
2024-10-02,113600,324666
2024-09-30,113500,426893
2024-09-27,112800,333019
2024-09-26,114200,515422
2024-09-25,104500,362529
2024-09-24,104800,1080832
2024-09-23,93900,242457
2024-09-20,89800,256005
2024-09-19,90100,176283
2024-09-13,90400,120022
2024-09-12,91100,274611
2024-09-11,89400,329111
2024-09-10,82900,192449
2024-09-09,87200,153746
2024-09-06,86800,230007
2024-09-05,92400,159948
2024-09-04,92400,220329
2024-09-03,97600,200682
2024-09-02,97600,528336
2024-08-30,93800,249162
2024-08-29,92200,201519
2024-08-28,89200,166702
2024-08-27,92400,109385
2024-08-26,92800,122106
2024-08-23,91700,139036
2024-08-22,93300,209400
2024-08-21,91600,221275
2024-08-20,90200,167476
2024-08-19,89300,228106
2024-08-16,93600,190001
2024-08-14,92000,233037
2024-08-13,89400,168364
2024-08-12,91200,161027
2024-08-09,91300,441500
2024-08-08,86200,713013
2024-08-07,93600,674695
2024-08-06,101500,389268
2024-08-05,92400,462584
2024-08-02,111100,185756
2024-08-01,116000,179707
2024-07-31,113700,215963
2024-07-30,116500,161068
2024-07-29,116900,114538
2024-07-26,114000,217521
2024-07-25,115300,279614
2024-07-24,112800,192263
2024-07-23,114200,244781
2024-07-22,116900,341020
2024-07-19,126000,183829
2024-07-18,123200,208524
2024-07-17,124200,233463
2024-07-16,124700,515586
2024-07-15,133500,316545
2024-07-12,138000,224581
2024-07-11,138600,480807
2024-07-10,142000,163078
2024-07-09,144600,191923
2024-07-08,147600,243434
2024-07-05,148100,202088
2024-07-04,144700,322034
2024-07-03,149300,842171
2024-07-02,136700,171461
2024-07-01,141000,179527
2024-06-28,135300,193638
2024-06-27,136100,228901
2024-06-26,139700,276259
2024-06-25,144600,195104
2024-06-24,146700,229539
2024-06-21,152000,135455
2024-06-20,153400,142407
2024-06-19,153200,201431
2024-06-18,153400,202152
2024-06-17,156200,258521
2024-06-14,161300,511952
2024-06-13,171600,1234729
2024-06-12,165800,250267
2024-06-11,164800,327029
2024-06-10,162800,269786
2024-06-07,164800,336601
2024-06-05,157300,264618
2024-06-04,153900,183652
2024-06-03,151800,217047
2024-05-31,156400,558868
2024-05-30,150900,162358
2024-05-29,150600,343495
2024-05-28,155200,187661
2024-05-27,159100,325615
2024-05-24,150800,148117
2024-05-23,154600,156917
2024-05-22,153200,146810
2024-05-21,152000,333243
2024-05-20,160700,226885
2024-05-17,160800,181594
2024-05-16,162500,445132
2024-05-14,153700,151389
2024-05-13,156500,157218
2024-05-10,153300,333198
2024-05-09,150300,224619
2024-05-08,155000,187492
2024-05-07,157600,126593
2024-05-03,157600,125359
2024-05-02,158200,163803
2024-04-30,163900,250186
2024-04-29,165100,298889
2024-04-26,157000,151844
2024-04-25,154200,249805
2024-04-24,160000,353556
2024-04-23,151100,123687
2024-04-22,153200,194812
2024-04-19,150600,236194
2024-04-18,148400,243676
2024-04-17,140600,304627
2024-04-16,145900,355103
2024-04-15,151000,503192
2024-04-12,160000,612355
2024-04-11,167500,1035653
2024-04-09,170000,236976
2024-04-08,168000,378900
2024-04-05,166000,268305
2024-04-04,169400,370031
2024-04-03,170700,484887
2024-04-02,168700,278426
2024-04-01,173000,202715
2024-03-29,174100,329482
