날짜,종가,거래량
2024-10-17,23450,7676
2024-10-16,23600,96839
2024-10-15,22600,30803
2024-10-14,22600,45205
2024-10-11,22650,75307
2024-10-10,23100,64658
2024-10-08,23600,60905
2024-10-07,24450,66748
2024-10-04,23500,32246
2024-10-02,23900,42963
2024-09-30,24200,38444
2024-09-27,24850,102853
2024-09-26,24450,40443
2024-09-25,23800,50324
2024-09-24,24100,32816
2024-09-23,24100,25882
2024-09-20,23850,39972
2024-09-19,23950,38739
2024-09-13,23650,46024
2024-09-12,23900,28320
2024-09-11,23200,35668
2024-09-10,22850,57988
2024-09-09,23300,51728
2024-09-06,23100,90890
2024-09-05,23700,102616
2024-09-04,23750,134699
2024-09-03,24650,167034
2024-09-02,25100,352056
2024-08-30,26800,440884
2024-08-29,28500,470868
2024-08-28,29650,581361
2024-08-27,31800,1813631
2024-08-26,27150,60006
2024-08-23,27250,59831
2024-08-22,27900,89875
2024-08-21,27750,217674
2024-08-20,26650,45558
2024-08-19,26350,154803
2024-08-16,25700,49952
2024-08-14,25500,289306
2024-08-13,23750,28231
2024-08-12,23500,28931
2024-08-09,23250,56548
2024-08-08,23600,46966
2024-08-07,23250,56294
2024-08-06,22850,120834
2024-08-05,22000,198580
2024-08-02,25200,64348
2024-08-01,26350,28140
2024-07-31,25900,39476
2024-07-30,25250,44109
2024-07-29,25900,18029
2024-07-26,25800,26998
2024-07-25,25300,92433
2024-07-24,25750,100431
2024-07-23,26900,49740
2024-07-22,27550,44711
2024-07-19,27750,34703
2024-07-18,27450,68317
2024-07-17,27300,59534
2024-07-16,27900,62708
2024-07-15,27900,46893
2024-07-12,27800,69158
2024-07-11,27600,176425
2024-07-10,26800,35286
2024-07-09,26750,29218
2024-07-08,26750,28665
2024-07-05,26350,46405
2024-07-04,26250,38090
2024-07-03,26300,54549
2024-07-02,26350,56011
2024-07-01,27000,45422
2024-06-28,26700,104815
2024-06-27,26250,36518
2024-06-26,26550,33907
2024-06-25,26900,54344
2024-06-24,26400,60254
2024-06-21,26750,62995
2024-06-20,27450,35310
2024-06-19,27450,42517
2024-06-18,27450,40642
2024-06-17,27700,67328
2024-06-14,28150,78211
2024-06-13,28600,96848
2024-06-12,27900,98704
2024-06-11,27150,66028
2024-06-10,27300,72637
2024-06-07,27400,64164
2024-06-05,27600,66185
2024-06-04,27550,101306
2024-06-03,27700,56820
2024-05-31,27150,177709
2024-05-30,28000,114733
2024-05-29,28550,132417
2024-05-28,29350,105377
2024-05-27,29250,186006
2024-05-24,30100,172005
2024-05-23,32050,43396
2024-05-22,32000,77247
2024-05-21,32150,55703
2024-05-20,31250,56383
2024-05-17,31150,78650
2024-05-16,31050,69102
2024-05-14,31500,140036
2024-05-13,30300,87900
2024-05-10,31150,59922
2024-05-09,31050,92119
2024-05-08,31000,81131
2024-05-07,30700,66058
2024-05-03,30500,64410
2024-05-02,30250,63096
2024-04-30,30500,120805
