날짜,종가,거래량
2024-10-15,5020,67714
2024-10-14,5080,228806
2024-10-11,5050,222229
2024-10-10,5070,509212
2024-10-08,5000,417492
2024-10-07,4905,294958
2024-10-04,4885,618423
2024-10-02,4860,412130
2024-09-30,4855,819361
2024-09-27,4965,496831
2024-09-26,5060,398746
2024-09-25,4965,623388
2024-09-24,5070,1076631
2024-09-23,4860,1195663
2024-09-20,4875,4175480
2024-09-19,5500,1675829
2024-09-13,5170,374338
2024-09-12,5170,705788
2024-09-11,5050,361718
2024-09-10,5100,846968
2024-09-09,4885,316044
2024-09-06,4920,476618
2024-09-05,4955,429512
2024-09-04,4980,646457
2024-09-03,5070,379241
2024-09-02,4990,518037
2024-08-30,5110,768084
2024-08-29,5050,1624999
2024-08-28,4800,549806
2024-08-27,4870,580474
2024-08-26,4845,1270791
2024-08-23,4830,394025
2024-08-22,4830,590760
2024-08-21,4800,790305
2024-08-20,4730,896128
2024-08-19,4585,368698
2024-08-16,4510,274056
2024-08-14,4510,424107
2024-08-13,4415,782257
2024-08-12,4600,258588
2024-08-09,4625,453824
2024-08-08,4625,802386
2024-08-07,4500,469059
2024-08-06,4400,548367
2024-08-05,4245,925957
2024-08-02,4600,684674
2024-08-01,4770,432288
2024-07-31,4645,509713
2024-07-30,4495,418738
2024-07-29,4530,411903
2024-07-26,4650,650120
2024-07-25,4480,575519
2024-07-24,4585,407444
2024-07-23,4655,605376
2024-07-22,4685,409680
2024-07-19,4710,642834
2024-07-18,4735,663729
2024-07-17,4760,619790
2024-07-16,4820,749455
2024-07-15,4720,304797
2024-07-12,4715,376931
2024-07-11,4745,534111
2024-07-10,4685,255946
2024-07-09,4730,860379
2024-07-08,4640,415995
2024-07-05,4670,487014
2024-07-04,4690,427079
2024-07-03,4690,715349
2024-07-02,4800,1226302
2024-07-01,4680,1081055
2024-06-28,4815,1872470
2024-06-27,4690,800489
2024-06-26,4775,672293
2024-06-25,4890,442200
2024-06-24,4870,539327
2024-06-21,4945,1188635
2024-06-20,4930,1854147
2024-06-19,4870,595685
2024-06-18,5000,1532222
2024-06-17,4905,456521
2024-06-14,4890,701103
2024-06-13,4815,1061398
2024-06-12,4765,449848
2024-06-11,4775,814347
2024-06-10,4875,315244
2024-06-07,4910,368252
2024-06-05,4925,566987
2024-06-04,5000,644829
2024-06-03,5110,1171087
2024-05-31,5050,4398909
2024-05-30,4900,943494
2024-05-29,4940,414411
2024-05-28,5000,350539
2024-05-27,5000,386800
2024-05-24,4925,567098
2024-05-23,4985,707673
2024-05-22,5020,384499
2024-05-21,5050,553804
2024-05-20,5090,398319
2024-05-17,5070,713806
2024-05-16,5160,816058
2024-05-14,5150,718091
2024-05-13,5140,542188
2024-05-10,5170,862518
2024-05-09,5030,1400513
2024-05-08,5130,801631
2024-05-07,5100,570913
2024-05-03,5040,420802
2024-05-02,5020,724125
2024-04-30,5050,792886
2024-04-29,5190,827997
2024-04-26,5090,1036335
