날짜,종가,거래량
2024-10-15,48750,335698
2024-10-14,50500,330758
2024-10-11,52400,474993
2024-10-10,55300,785936
2024-10-08,52700,476772
2024-10-07,53600,1153490
2024-10-04,48400,770225
2024-10-02,51400,602268
2024-09-30,52300,1201553
2024-09-27,56500,545194
2024-09-26,57200,499789
2024-09-25,56300,560488
2024-09-24,56600,695880
2024-09-23,54500,1084701
2024-09-20,53700,2453833
2024-09-19,49750,625380
2024-09-13,48500,518046
2024-09-12,49950,829471
2024-09-11,46300,641318
2024-09-10,46250,846055
2024-09-09,43300,555582
2024-09-06,41900,446321
2024-09-05,43900,356722
2024-09-04,44750,444457
2024-09-03,47050,426771
2024-09-02,47350,965991
2024-08-30,46300,667939
2024-08-29,47600,1327515
2024-08-28,47500,2101652
2024-08-27,53900,695407
2024-08-26,53400,573878
2024-08-23,55200,477644
2024-08-22,58300,272769
2024-08-21,57900,255101
2024-08-20,58400,244606
2024-08-19,57200,312659
2024-08-16,59600,365149
2024-08-14,60300,255420
2024-08-13,59600,256184
2024-08-12,60400,279803
2024-08-09,61300,371497
2024-08-08,59400,474678
2024-08-07,62400,388774
2024-08-06,64600,823676
2024-08-05,56100,904354
2024-08-02,66300,252140
2024-08-01,68400,231576
2024-07-31,67500,233045
2024-07-30,69200,227531
2024-07-29,69100,459673
2024-07-26,66500,373080
2024-07-25,66500,825872
2024-07-24,66400,362531
2024-07-23,67800,604443
2024-07-22,70500,396593
2024-07-19,75600,303703
2024-07-18,72600,461755
2024-07-17,74900,388141
2024-07-16,77300,433887
2024-07-15,80100,225216
2024-07-12,81200,303032
2024-07-11,82800,360123
2024-07-10,82500,283263
2024-07-09,84800,387050
2024-07-08,83200,348457
2024-07-05,83000,345292
2024-07-04,82800,388385
2024-07-03,83600,692809
2024-07-02,87300,879936
2024-07-01,84500,381725
2024-06-28,86000,1401653
2024-06-27,79300,224311
2024-06-26,79900,335488
2024-06-25,80800,231085
2024-06-24,80400,342998
2024-06-21,81200,301082
2024-06-20,82400,261166
2024-06-19,84800,478828
2024-06-18,85100,274899
2024-06-17,87600,217541
2024-06-14,88500,390776
2024-06-13,90700,392839
2024-06-12,90600,330869
2024-06-11,89600,648697
2024-06-10,87500,529585
2024-06-07,90000,529930
2024-06-05,85400,576556
2024-06-04,82000,328430
2024-06-03,81600,340631
2024-05-31,83300,913109
2024-05-30,78800,429771
2024-05-29,80900,424691
2024-05-28,84500,342383
2024-05-27,86800,789564
2024-05-24,85100,471525
2024-05-23,88100,441602
2024-05-22,90100,499987
2024-05-21,90900,1082129
2024-05-20,94200,249891
2024-05-17,95200,263084
2024-05-16,96700,252518
2024-05-14,95700,313405
2024-05-13,96000,400606
2024-05-10,98300,351463
2024-05-09,100500,354105
2024-05-08,104500,610419
2024-05-07,104000,868705
2024-05-03,95200,510228
2024-05-02,91500,215330
2024-04-30,94100,232993
2024-04-29,93700,286839
2024-04-26,92000,350444
2024-04-25,91200,373830
2024-04-24,93900,322435
2024-04-23,93200,262220
2024-04-22,96000,345296
2024-04-19,94400,542963
2024-04-18,97100,428607
2024-04-17,91700,481121
2024-04-16,93700,556334
2024-04-15,98400,442018
2024-04-12,101000,464045
2024-04-11,104800,338590
2024-04-09,108300,312694
2024-04-08,109700,465465
2024-04-05,111600,345479
2024-04-04,114800,449206
2024-04-03,114400,3060601
2024-04-02,113900,385051
2024-04-01,118200,495306
2024-03-29,115600,1585109
2024-03-28,113100,730513
2024-03-27,114300,855213
2024-03-26,118700,460076
2024-03-25,120500,610435
2024-03-22,120000,695616
2024-03-21,123000,435314
2024-03-20,123000,512468
2024-03-19,127100,734533
2024-03-18,130100,1233354
2024-03-15,126400,1117572
2024-03-14,125800,972301
2024-03-13,123100,674915
2024-03-12,126600,1080603
2024-03-11,125300,1574901
2024-03-08,127700,2592648
2024-03-07,124200,2494920
2024-03-06,118800,4212679
2024-03-05,125300,6891039
2024-03-04,100400,570561
2024-02-29,96500,605250
