날짜,전일비,시가,고가,저가,종가,거래량
2024-10-15,+500,249500,249500,246000,249000,143674
2024-10-14,0,250500,254000,248000,248500,307668
2024-10-11,+2500,248000,249500,246500,248500,282919
2024-10-10,0,253000,255500,246000,246000,641891
2024-10-08,-1000,244500,247000,244000,246000,413552
2024-10-07,+7500,244000,247000,241000,247000,731171
2024-10-04,+2500,235500,241500,232000,239500,856583
2024-10-02,-7000,237500,241000,236500,237000,1035510
2024-09-30,-10500,255500,256000,244000,244000,1032595
2024-09-27,-4500,257500,259000,253500,254500,493853
