날짜,전일비,시가,고가,저가,종가,거래량
2024-10-17,+100,20350,20550,20050,20250,32089
2024-10-16,-200,20350,20850,20150,20150,167632
2024-10-15,-650,20900,21050,20250,20350,354957
2024-10-14,+200,20800,21150,20400,21000,159642
2024-10-11,+300,20500,21400,20500,20800,297554
2024-10-10,+350,20350,20650,20150,20500,175351
2024-10-08,+150,20050,20350,19630,20150,234288
2024-10-07,0,20000,20550,19960,20000,159445
2024-10-04,+10,20050,20150,19780,20000,126110
2024-10-02,-310,20050,20300,19740,19990,199601
