날짜,전일비,시가,고가,저가,종가,거래량
2024-10-17,-1900,98100,98400,95400,95900,671353
2024-10-16,-1900,98800,99400,97500,97800,1442581
2024-10-15,-900,100800,100800,99200,99700,742330
2024-10-14,-500,101400,102500,100500,100600,512895
2024-10-11,+300,101300,102200,100700,101100,586806
2024-10-10,+1200,101900,102900,100600,100800,1347031
2024-10-08,-800,99700,100900,99500,99600,953986
2024-10-07,+2400,99300,100900,98600,100400,747649
2024-10-04,-700,99400,100000,97800,98000,953289
2024-10-02,-1200,98200,100300,98100,98700,947817
