날짜,전일비,시가,고가,저가,종가,거래량
2024-10-17,-500,338500,341000,332500,338500,72600
2024-10-16,-3000,346000,346000,337000,339000,244835
2024-10-15,-8500,351000,353000,337000,342000,367113
2024-10-14,-4000,350000,351000,342500,350500,283883
2024-10-11,-2000,357500,364000,350000,354500,268871
2024-10-10,-4500,364500,365000,356500,356500,355580
2024-10-08,+2000,358000,368000,354500,361000,341075
2024-10-07,+10500,352000,363000,349500,359000,312315
2024-10-04,-5000,354000,356500,346000,348500,262280
2024-10-02,-3000,358000,366000,353500,353500,334645
